010 004 10Be 1.51 My
040 019 40K 1.248 Gy
048 020 48Ca 45 Ey
050 023 50V 150 Py
053 025 53Mn 3.7 My
060 026 60Fe 2.62 My
076 032 76Ge 1.66 Zy
082 034 82Se 92 Ey
087 037 87Rb 49.7 Gy
092 041 92Nb 34.7 My
093 040 93Zr 1.61 My
096 040 96Zr 23 Ey
097 043 97Tc 4.21 My
098 043 98Tc 4.2 My
100 042 100Mo 7.1 Ey
107 046 107Pd 6.5 My
113 048 113Cd 8.04 Py
115 049 115In 441 Ty
116 048 116Cd 28.7 Ey
128 052 128Te 2.0 Yy
129 053 129I 15.7 My
130 052 130Te 690 Ey
135 055 135Cs 1.33 My
136 054 136Xe 2.19 Zy
138 057 138La 102 Gy
144 060 144Nd 2.29 Py
146 062 146Sm 68 My
147 062 147Sm 106.6 Gy
148 062 148Sm 6.3 Py
150 060 150Nd 8.2 Ey
150 064 150Gd 1.79 My
151 063 151Eu 4.6 Ey
152 064 152Gd 108 Ty
154 066 154Dy 3.0 My
174 072 174Hf 2.0 Py
176 071 176Lu 36.84 Gy
180 074 180W 1.8 Ey
182 072 182Hf 8.90 My
186 076 186Os 2.0 Py
187 075 187Re 43.3 Gy
190 078 190Pt 650 Gy
205 082 205Pb 17.3 My
209 083 209Bi 20.1 Ey
210 083W 210Bim 271.31 0.11
232 090 232Th 14.0 Gy
235 092 235U 704 My
236 092 236U 23.42 My
237 093 237Np 2.144 My
238 092 238U 4.468 Gy
244 094 244Pu 80.0 My
247 096 247Cm 15.6 My
